event_id,date,artist,venue,min_price,max_price,total_postings,total_tickets,city,state,ticket_vendor,face_value,sold_out,sk_artist_id,days_to_show
9484259,2016-03-21T20:00:00-0400,Pusha T,Center Stage Theatre,40.26,153.0,24,124.0,Atlanta,GA,Ticketmaster,$34.00,0,814169,8
9485351,2016-03-14T18:00:00-0400,The Word Alive,Masquerade Atlanta,41.43,61.56,3,20.0,Atlanta,GA,Ticketmaster,$18.00,0,2341487,1
9485933,2016-08-13T13:00:00-0400,The Wrecking Ball ATL 2016 - 2 DAY PASS,Masquerade Atlanta,179.48,150.0,2,12.0,Atlanta,GA,NoResults,NoResults,NoResults,NoResults,153
9489960,2016-04-13T20:00:00-0400,Jesse Cook,Buckhead Theatre,91.0,79.0,3,8.0,Atlanta,GA,Ticketmaster,$37.00,0,134753,31
9490874,2016-03-16T18:30:00-0400,Secrets,Masquerade Atlanta,30.81,77.0,4,24.0,Atlanta,GA,Ticketmaster,$13.50,0,338659,3
9491680,2016-03-24T20:00:00-0400,Get The Led Out,Egyptian Ballroom at Fox Theatre Atlanta,114.6,125.0,4,16.0,Atlanta,GA,NoResults,NoResults,NoResults,NoResults,11
9492144,2016-04-22T19:30:00-0400,Rend Collective,The Tabernacle Atlanta,44.86,150.0,11,53.0,Atlanta,GA,Live Nation,NoPriceClass,0,3850246,40
9492545,2016-03-15T19:00:00-0400,Larry and His Flask,Drunken Unicorn,55.59,44.99,1,6.0,Atlanta,GA,NoVendorClass,NoPriceClass,NoSoldOutClass,1091625,2
9493404,2016-04-29T20:00:00-0400,Father John Misty,The Tabernacle Atlanta,51.3,1111.0,53,297.0,Atlanta,GA,Live Nation,NoPriceClass,0,5113323,47
9493900,2016-04-01T20:30:00-0400,Dr. Dog,Buckhead Theatre,32.0,109.0,18,83.0,Atlanta,GA,Ticketmaster,$25.00,0,42687,19
9495512,2016-03-12T20:00:00-0400,Moody Blues,Fox Theatre Atlanta,98.79,168.0,17,55.0,Atlanta,GA,NoResults,NoResults,NoResults,NoResults,-1
9500874,2016-04-15T20:00:00-0400,Tori Kelly,The Tabernacle Atlanta,81.56,1111.0,50,184.0,Atlanta,GA,Live Nation,NoPriceClass,0,1054791,33
9501051,2016-04-12T20:00:00-0400,The Cult,Variety Playhouse,88.46,165.0,14,50.0,Atlanta,GA,Ticketmaster,$38.00,0,397363,30
9501297,2016-05-13T19:00:00-0400,Flatbush Zombies,Masquerade Atlanta,39.48,73.0,13,61.0,Atlanta,GA,Ticketmaster,$20.00,0,5081903,61
9501625,2016-05-07T19:30:00-0400,Floetry and Mint Condition,Fox Theatre Atlanta,132.3,211.0,17,68.0,Atlanta,GA,NoResults,NoResults,NoResults,NoResults,55
9501663,2016-05-03T19:00:00-0400,Woods,Masquerade Atlanta,49.11,55.0,7,30.0,Atlanta,GA,Ticketmaster,$13.00,0,499335,51
9501826,2016-05-21T18:00:00-0400,Say Anything,Masquerade Atlanta,38.09,68.0,14,80.0,Atlanta,GA,Ticketmaster,$19.50,0,235557,69
9501845,2016-05-20T13:00:00-0400,Luke Bryan with Little Big Town and Dustin Lynch,Lakewood Amphitheatre,65.04,5000.0,428,1696.0,Atlanta,GA,NoResults,NoResults,NoResults,NoResults,68
9501846,2016-05-21T19:00:00-0400,Luke Bryan with Little Big Town and Dustin Lynch,Lakewood Amphitheatre,68.58,9999.0,926,3295.0,Atlanta,GA,NoResults,NoResults,NoResults,NoResults,69
9501868,2016-03-19T20:00:00-0400,Tinashe,Center Stage Theatre,27.28,66.12,15,80.0,Atlanta,GA,Ticketmaster,$29.00,0,2020878,6
9502345,2016-03-14T19:00:00-0400,Charlie Puth,Terminal West,21.12,500.0,24,113.0,Atlanta,GA,Ticketfly,$20.00,1,5318433,1
9502608,2016-04-06T20:00:00-0400,Beirut,Buckhead Theatre,51.69,144.0,12,57.0,Atlanta,GA,Ticketmaster,$30.00,0,355452,24
9503090,2016-04-21T20:00:00-0400,George Perris,Buckhead Theatre,144.1,120.0,1,4.0,Atlanta,GA,Ticketmaster,$45.00,0,1983651,39
9503268,2016-06-16T19:00:00-0400,Weezer,Lakewood Amphitheatre,44.65,599.0,227,1209.0,Atlanta,GA,Live Nation,NoPriceClass,0,544909,95
9505471,2016-05-02T21:00:00-0400,Parachute,Terminal West,35.54,42.0,4,18.0,Atlanta,GA,Ticketfly,$21.00,0,9315,50
9505721,2016-04-01T19:30:00-0400,America,Symphony Hall Atlanta,92.18,400.0,10,32.0,Atlanta,GA,NoVendorClass,NoPriceClass,NoSoldOutClass,321711,19
9506373,2016-05-06T19:30:00-0400,Disturbed with Rob Zombie,Lakewood Amphitheatre,49.11,415.0,149,734.0,Atlanta,GA,Live Nation,NoPriceClass,0,455175,54
9507620,2016-05-06T19:30:00-0400,Boyce Avenue,Center Stage Theatre,49.31,97.0,10,57.0,Atlanta,GA,Ticketmaster,$25.00,0,608550,54
9508113,2016-06-10T20:00:00-0400,Thrice,The Tabernacle Atlanta,46.55,199.0,22,102.0,Atlanta,GA,Live Nation,NoPriceClass,0,498261,89
9508208,2016-04-06T20:00:00-0400,Tech N9ne,Center Stage Theatre,55.6,57.0,7,40.0,Atlanta,GA,Ticketmaster,$30.00,0,283009,24
9509210,2016-05-18T19:30:00-0400,Magic Man & The Griswolds,Terminal West,51.26,73.0,8,43.0,Atlanta,GA,Ticketfly,$22.00,0,699966,66
9509402,2016-04-20T19:00:00-0400,Denzel Curry,Masquerade Atlanta,31.98,75.0,7,36.0,Atlanta,GA,Ticketmaster,$15.00,0,6890294,38
9509422,2016-11-15T20:30:00-0400,Peter Hook and The Light,Terminal West,43.04,60.42,6,35.0,Atlanta,GA,Ticketfly,$25.00,0,4154881,247
9509786,2016-04-21T18:30:00-0400,The Contortionist with Monuments and more,Masquerade Atlanta,39.85,52.0,9,48.0,Atlanta,GA,NoResults,NoResults,NoResults,NoResults,39
9510183,2016-04-22T19:00:00-0400,Bane,Masquerade Atlanta,36.57,70.0,5,33.0,Atlanta,GA,Ticketmaster,$12.00,0,21223,40
9510218,2016-04-30T18:00:00-0400,Foundation,Masquerade Atlanta,83.92,72.22,3,11.0,Atlanta,GA,Ticketmaster,NoPriceClass,0,249855,48
9510439,2016-05-28T19:00:00-0400,Dave Matthews Band,Lakewood Amphitheatre,83.12,9888.8,236,856.0,Atlanta,GA,Live Nation,NoPriceClass,0,334506,76
9510497,2016-05-07T16:00:00-0400,Laid Back Festival with Gregg Allman Band and more,Lakewood Amphitheatre,47.06,365.0,116,620.0,Atlanta,GA,NoResults,NoResults,NoResults,NoResults,55
9510617,2016-07-15T13:00:00-0400,Dierks Bentley with Randy Houser and Cam,Lakewood Amphitheatre,36.72,499.0,129,660.0,Atlanta,GA,NoResults,NoResults,NoResults,NoResults,124
9510993,2016-07-10T19:00:00-0400,Brand New and Modest Mouse,Chastain Park Amphitheatre,81.56,9999.0,195,664.0,Atlanta,GA,Live Nation,NoPriceClass,0,352662,119
9511118,2016-04-05T20:00:00-0400,Ace Frehley,Variety Playhouse,63.6,74.1,11,58.0,Atlanta,GA,Ticketmaster,$37.50,0,307655,23
9511127,2016-04-22T21:00:00-0400,Esperanza Spalding,Center Stage Theatre,61.5,59.0,5,29.0,Atlanta,GA,Ticketmaster,$34.50,0,560672,40
9511148,2016-04-17T19:30:00-0400,Amon Amarth with Entombed and Exmortus,The Tabernacle Atlanta,54.42,229.0,16,96.0,Atlanta,GA,Live Nation,NoPriceClass,0,216859,35
9511315,2016-05-22T18:00:00-0400,The Summer Set,Masquerade Atlanta,61.5,198.0,8,37.0,Atlanta,GA,Ticketmaster,$17.00,0,912614,70
9511660,2016-07-17T19:30:00-0400,Shawn Mendes,Fox Theatre Atlanta,101.62,550.0,212,572.0,Atlanta,GA,evenue website,NoPriceClass,0,8008073,126
9511810,2016-04-05T19:00:00-0400,Issues with Crown The Empire and more,Masquerade Atlanta,33.18,110.0,17,77.0,Atlanta,GA,NoResults,NoResults,NoResults,NoResults,23
9511949,2016-07-01T20:00:00-0400,Noel Gallaghers High Flying Birds,The Tabernacle Atlanta,64.98,1111.0,93,352.0,Atlanta,GA,NoResults,NoResults,NoResults,NoResults,110
9512296,2016-04-29T21:00:00-0400,Sevendust,Center Stage Theatre,51.99,70.0,8,37.0,Atlanta,GA,Ticketmaster,$27.00,0,280948,47
9512300,2016-03-31T21:00:00-0400,Twiddle,Terminal West,23.21,26.0,3,18.0,Atlanta,GA,Ticketfly,$12.00,0,947444,18
9512392,2016-05-01T17:30:00-0400,FILTER with Orgy and Vampires Everywhere,Masquerade Atlanta,39.52,99.0,10,52.0,Atlanta,GA,Ticketmaster,$21.00,0,188715,49
9513590,2016-07-30T20:00:00-0400,Ray LaMontagne,Fox Theatre Atlanta,99.26,297.0,108,354.0,Atlanta,GA,NoVendorClass,NoPriceClass,NoSoldOutClass,107918,139
9513692,2016-03-25T21:00:00-0400,Anderson East,Terminal West,44.39,198.0,8,32.0,Atlanta,GA,Ticketfly,$12.00,1,3742616,12
9513759,2016-05-07T20:00:00-0400,Old 97's,Terminal West,48.35,83.0,9,51.0,Atlanta,GA,NoResults,NoResults,NoResults,NoResults,55
9514255,2016-04-28T20:00:00-0400,Santigold,The Tabernacle Atlanta,54.29,202.0,23,97.0,Atlanta,GA,Live Nation,NoPriceClass,0,2385431,46
9514469,2016-04-24T20:00:00-0400,Bush,The Tabernacle Atlanta,67.4,250.0,35,145.0,Atlanta,GA,Live Nation,NoPriceClass,0,478333,42
9516459,2016-04-25T19:00:00-0400,NOFX,The Tabernacle Atlanta,50.76,200.0,15,80.0,Atlanta,GA,Live Nation,NoPriceClass,0,214756,43
9516657,2016-04-30T19:00:00-0400,Old Crow Medicine Show,Fox Theatre Atlanta,95.72,329.01,38,134.0,Atlanta,GA,NoVendorClass,NoPriceClass,NoSoldOutClass,74249,48
9516766,2016-04-02T21:00:00-0400,Belinda Carlise,Center Stage Theatre,89.82,255.64,14,46.0,Atlanta,GA,NoResults,NoResults,NoResults,NoResults,20
9517549,2016-06-17T19:00:00-0400,The Matches,Masquerade Atlanta,35.39,60.0,9,44.0,Atlanta,GA,NoVendorClass,NoPriceClass,NoSoldOutClass,330859,96
9517660,2016-04-16T20:00:00-0400,Iration,Variety Playhouse,57.59,112.86,10,50.0,Atlanta,GA,Ticketmaster,$20.00,0,84879,34
9517710,2016-03-25T20:30:00-0400,Yacht Rock Revue,Variety Playhouse,56.58,52.44,8,40.0,Atlanta,GA,Ticketmaster,$20.00,0,2949166,12
9519082,2016-04-11T20:00:00-0400,Deerhunter,Variety Playhouse,37.88,56.0,11,55.0,Atlanta,GA,Ticketmaster,$20.00,0,222485,29
9519098,2016-05-13T11:30:00-0400,Shaky Knees Music Festival - FRIDAY ONLY,Centennial Olympic Park,191.67,162.0,3,10.0,Atlanta,GA,NoResults,NoResults,NoResults,NoResults,61
9519099,2016-05-14T11:30:00-0400,Shaky Knees Music Festival - SATURDAY ONLY,Centennial Olympic Park,196.41,162.0,1,8.0,Atlanta,GA,NoResults,NoResults,NoResults,NoResults,62
9519100,2016-05-15T11:30:00-0400,Shaky Knees Music Festival - SUNDAY ONLY,Centennial Olympic Park,196.41,162.0,1,8.0,Atlanta,GA,NoResults,NoResults,NoResults,NoResults,63
9519258,2016-06-10T20:00:00-0400,Chris Botti and Joshua Bell,Chastain Park Amphitheatre,232.6,225.0,5,18.0,Atlanta,GA,NoResults,NoResults,NoResults,NoResults,89
9519406,2016-04-23T19:30:00-0400,Celtic Woman,Fox Theatre Atlanta,133.48,244.0,27,108.0,Atlanta,GA,NoVendorClass,NoPriceClass,NoSoldOutClass,227735,41
9519726,2016-04-28T19:30:00-0400,Third Day and Steven Curtis Chapman,Fox Theatre Atlanta,56.78,300.0,34,101.0,Atlanta,GA,NoVendorClass,NoPriceClass,NoSoldOutClass,382312,46
9519731,2016-03-31T21:00:00-0400,Baauer,Variety Playhouse,49.69,66.0,9,36.0,Atlanta,GA,Ticketmaster US,NoPriceClass,0,5502993,18
9519806,2016-05-01T18:00:00-0400,Beyoncé,Georgia Dome,106.34,9700.0,1939,6294.0,Atlanta,GA,Ticketmaster,$45.00,0,553938,49
9520198,2016-03-20T19:00:00-0400,"Legends of Southern Hip Hop featuring Juvenile, Mystikal and more",Fox Theatre Atlanta,123.25,1100.0,15,44.0,Atlanta,GA,NoResults,NoResults,NoResults,NoResults,7
9521558,2016-05-19T19:00:00-0400,Daryl Hall and John Oates with Sharon Jones and the Dap Kings and more,Lakewood Amphitheatre,31.82,9999.0,183,971.0,Atlanta,GA,NoResults,NoResults,NoResults,NoResults,67
9521757,2016-08-26T13:00:00-0400,Brantley Gilbert with Justin Moore and Colt Ford,Lakewood Amphitheatre,39.08,509.0,120,698.0,Atlanta,GA,NoResults,NoResults,NoResults,NoResults,166
9521767,2016-10-22T13:00:00-0400,Florida Georgia Line with Cole Swindell and more,Lakewood Amphitheatre,70.15,599.0,116,676.0,Atlanta,GA,NoResults,NoResults,NoResults,NoResults,223
