['9500592', '/concerts/25822159-white-denim-at-exitin']
['9500873', '/concerts/25851514-tori-kelly-at-ryman-auditorium']
['9500898', '/concerts/25985358-ghost-at-marathon-music-works']
['9500899', '/concerts/25865774-miike-snow-at-marathon-music-works']
['9501279', '/concerts/25807744-parachute-at-cannery-ballroom']
['9501631', '/concerts/25851489-meat-loaf-at-schermerhorn-symphony-center']
['9501870', '/concerts/25807709-tinashe-at-cannery-ballroom']
['9501952', '/concerts/25968838-keith-urban-at-bridgestone-arena']
['9502449', '/concerts/25890178-heart-at-ascend-amphitheater']
['9502532', '/concerts/25851709-boz-scaggs-at-ryman-auditorium']
['9503220', '/concerts/25901938-alice-cooper-at-andrew-jackson-hall-tennessee-performing-arts-center']
['9505484', '/concerts/25900458-weezer-at-ascend-amphitheater']
['9506039', '/concerts/25410104-time-jumpers-at-']
['9506040', '/concerts/25410104-time-jumpers-at-']
['9506043', '/concerts/25865464-time-jumpers-at-ryman-auditorium']
['9507380', '/concerts/25930358-disturbed-at-ascend-amphitheater']
['9507425', '/concerts/25924298-alabama-shakes-at-ascend-amphitheater']
['9507470', '/concerts/25897023-william-singe-at-cannery-ballroom']
['9507629', '/concerts/25915928-boyce-avenue-at-cannery-ballroom']
['9508104', '/concerts/25930053-dawes-at-ryman-auditorium']
['9509033', '/concerts/25946178-at-the-drivein-at-marathon-music-works']
['9509161', 'NoResults']
['9509208', '/concerts/25938898-magic-man-at-mercy-lounge']
['9509291', '/concerts/25897103-houndmouth-at-cannery-ballroom']
['9509312', '/concerts/25606094-werks-at-mercy-lounge']
['9509315', '/concerts/25728454-thirdstory-at-mercy-lounge']
['9509317', '/concerts/25798764-matthew-logan-vasquez-at-mercy-lounge']
['9509335', '/concerts/25609774-mount-moriah-at-high-watt']
['9509337', '/concerts/25290469-basia-bulat-at-high-watt']
['9509339', '/concerts/25943273-lily-and-madeleine-at-high-watt']
['9509341', '/concerts/25622364-bright-light-social-hour-at-high-watt']
['9509343', '/concerts/25889383-bleached-at-high-watt']
['9509345', '/concerts/25822134-cullen-omori-at-high-watt']
['9509348', '/concerts/25930083-small-black-at-high-watt']
['9509433', '/concerts/25968598-moon-taxi-at-ryman-auditorium']
['9510621', '/concerts/25968838-keith-urban-at-bridgestone-arena']
['9510732', 'NoResults']
